appbot_id,database_name,language,translate_to,itunes_id,android_id
1265815,mobile-android-argentina,es,en,,com.bbva.nxt_argentina
814177,mobile-android-colombia,es,en,,co.com.bbva.mb
888250,mobile-android-mexico,es,en,,com.bancomer.mbanking
888253,mobile-android-paraguay,es,en,,py.com.bbva.ibbva2
811475,mobile-android-peru,es,en,,com.bbva.nxt_peru
888244,mobile-android-spain,es,en,,com.bbva.bbvacontigo
940921,mobile-android-turkey,tr,en,,com.garanti.cepsubesi
888248,mobile-android-us,en,es,,com.bbva.compassBuzz
888246,mobile-android-venezuela,es,en,,com.totaltexto.bancamovil
564244,mobile-ios-argentina,es,en,748231035,
478772,mobile-ios-colombia,es,en,823508982,
30350,mobile-ios-mexico,es,en,374824226,
779903,mobile-ios-paraguay,es,en,646009101,
256424,mobile-ios-peru,es,en,569453542,
188165,mobile-ios-spain,es,en,325813155,
44706,mobile-ios-turkey,tr,en,521117624,
704348,mobile-ios-us,en,es,411468151,
765719,mobile-ios-venezuela,es,en,,
1234562,wallet-android-colombia,es,en,,com.bbva.bbvawalletco
1198698,wallet-android-mexico,es,en,,com.bbva.bbvawalletmx
1474754,wallet-android-peru,es,en,,com.bbva.bbvawalletpe
1236152,wallet-android-spain,es,en,,com.bbva.bbvawallet
1020037,wallet-android-turkey,tr,en,,com.garanti.bonusapp
892941,wallet-android-us,en,es,,com.bbva.bbvawalletus
1235970,wallet-ios-colombia,es,en,1152501190,
842231,wallet-ios-mexico,es,en,970582311,
1474755,wallet-ios-peru,es,en,1230905544,
468232,wallet-ios-spain,es,en,736084767,
905575,wallet-ios-turkey,tr,en,994503642,
785799,wallet-ios-us,en,es,995019521,
