tuyyo_metric,adobe_metrics,adobe_elements,adobe_segments,Aug,Notes
logins_total,event12,,,98,
logins_android,event12,operatingSystem,,0,
logins_ios,event12,operatingSystem,,98,
transfer_amount_total,event91,,,219,I think this total does not match the typology total because of the unspecified value
transfer_amount_atm_android,event91,"operatingSystem, evar47",,0,
transfer_amount_atm_ios,event91,"operatingSystem, evar47",,166,
transfer_amount_cash_android,event91,"operatingSystem, evar47",,0,
transfer_amount_cash_ios,event91,"operatingSystem, evar47",,0,
transfer_amount_bank_android,event91,"operatingSystem, evar47",,0,
transfer_amount_bank_ios,event91,"operatingSystem, evar47",,19,
transfer_total,event57,,,14,I think this total does not match the typology total because of the unspecified value
transfer_atm_android,event57,"operatingSystem, evar47",,0,
transfer_atm_ios,event57,"operatingSystem, evar47",,7,
transfer_cash_android,event57,"operatingSystem, evar47",,0,
transfer_cash_ios,event57,"operatingSystem, evar47",,0,
transfer_bank_android,event57,"operatingSystem, evar47",,0,
transfer_bank_ios,event57,"operatingSystem, evar47",,5,
launches,mobilelaunches,,,332,
crashes,mobilecrashes,,,4,
new_registrations,,,,,
first_time_transfers,event57,,s1811_598226d8dd0ab123af1cddbc,11,Segment name: TB_Tuyyo_Send_Money
repeat_transfers,event57,,s1811_598226887245ec46b7d13bb6,3,Segment name: TB_Tuyyo_Repeat_Transfer
new_recipients_added,,,,,
payment_methods_added,,,,,
delivery_methods_added,,,,,
successful_transactions,event55,,,14,
failed_transactions,event56,,,0,
errors,event33,,,0,
downloads,,,,,
installs,mobileinstalls,,,56,
uninstalls,,,,,
transfer_location_from,event57,geostate,,"Texas: 6, California: 4, South Carolina: 3, Alabama: 1",
transfer_location_to,,,,,
transfer_amount_location_from,event91,geostate,,"Texas: 104, California: 18, South Carolina: 91, Alabama: 5",
transfer_amount_location_to,,,,,
